"x","ppi","ii","e","r"
-3.21371255431429e-25,-5.09694597998542e-25,-7.38454067720997e-25,0,-2.61306681699024e-25
-5.50981187313563e-25,-4.77147386021974e-25,-2.43720515155039e-24,0,-2.12921183672839e-24
-2.66382587144737e-24,-3.07993314822e-25,2.0757886318236e-24,0,2.25172915696873e-24
-4.02380894799139e-25,-1.75940525145125e-25,2.86640265098398e-25,0,4.36284092708681e-25
3.92571267694271e-26,-1.49643827610283e-25,-1.38724621419904e-25,0,4.15666326252583e-26
8.70543630911638e-26,-1.80291254045162e-25,-2.24153484538714e-24,0,-2.05015794320432e-24
-1.95735495810381e-24,-1.91376902182823e-25,1.06266584872364e-24,0,1.21762154288382e-24
-7.31156506539048e-25,-1.54955694160183e-25,9.88987703112383e-25,0,1.07690662462967e-24
3.52489815175255e-25,-8.7918921517291e-26,-3.36384934526425e-24,0,-3.23373505126168e-24
-2.87116522151369e-24,-1.30114294002566e-25,5.55944024512989e-24,0,5.4454359021334e-24
2.59330101010435e-24,1.1400434299649e-25,2.3624474729015e-24,0,2.40503959697015e-24
5.00704099559827e-24,-4.25921240686544e-26,-1.17598351649775e-23,0,-1.1431032204262e-23
-6.40550621702804e-24,-3.28802960715492e-25,6.59550715936214e-24,0,6.49047833105977e-24
1.00988420016487e-25,1.05028828302372e-25,-3.25242839770247e-24,0,-3.45158496175579e-24
-3.3247818771424e-24,1.99156564053316e-25,1.20579672129276e-24,0,8.90087613230984e-25
-2.42900029940871e-24,3.15709108061778e-25,8.93038290824623e-24,0,8.53698861904212e-24
6.11027351023851e-24,3.93394289204102e-25,-4.87206797169498e-24,0,-4.81076739804292e-24
1.30273457167253e-24,-6.1300573652065e-26,-6.84660266093327e-24,0,-6.76821455272428e-24
-5.46040291271028e-24,-7.83881082089848e-26,1.00785627273951e-23,0,9.81978058057098e-24
4.36363352429612e-24,2.58782146824163e-25,-7.26668838627361e-24,0,-7.1772624915972e-24
-2.8068161965825e-24,-8.94258946764119e-26,-1.4154260667742e-24,0,-1.60047019852886e-24
-4.40172842167759e-24,1.85044131754655e-25,4.54094742006975e-24,0,4.06727816058639e-24
-3.28996529771227e-25,4.73669259483366e-25,-4.6804351642671e-25,0,-9.08244405989286e-25
-1.23929103734176e-24,4.40200889562576e-25,1.49026835152555e-24,0,9.32006323183446e-25
-3.06087825735078e-25,5.58262028342106e-25,2.15116754382796e-25,0,-3.29803063009617e-25
-6.37278824796185e-25,5.44919817392413e-25,3.06521353490006e-24,0,2.26895837140645e-24
1.64539344971327e-24,7.96255163493609e-25,-3.79349465884701e-25,0,-9.7831831314695e-25
6.77075977699787e-25,5.98968847262249e-25,1.19576629941609e-24,0,6.91681235077424e-25
1.3744308891487e-24,5.04085064338669e-25,-1.59502843262644e-24,0,-2.0617852244721e-24
-6.78661648593481e-25,4.66756791845657e-25,3.94957530640627e-24,0,3.44293023127427e-24
2.77420203408106e-24,5.06645075131995e-25,-4.81292103761798e-24,0,-5.1471849364833e-24
-2.36080170875649e-24,3.34263898865319e-25,2.76358169321797e-24,0,2.26628831451684e-24
-8.48875152959523e-26,4.97293378701121e-25,2.02900331145027e-24,0,1.56898782291482e-24
1.49160187928574e-24,4.60015488535454e-25,-2.22744171281139e-24,0,-2.57578801451155e-24
-1.07871930989333e-24,3.48346301700167e-25,1.74413661597836e-24,0,1.33330202271091e-24
2.59430607436438e-25,4.10834593267447e-25,4.49400083156734e-25,0,8.64651856840648e-26
3.47940018304306e-25,3.62934897472669e-25,8.00828664710313e-25,0,4.33529757895082e-25
7.85982316340749e-25,3.67298906815231e-25,2.94295419856097e-25,0,-8.1751646249244e-26
7.13505774599607e-25,3.76047066105341e-25,9.3954495532765e-26,0,-2.30613655694927e-25
4.92480393488436e-25,3.24568151227692e-25,2.11627659576858e-25,0,-5.51544119688123e-26
4.45110014116597e-25,2.66782071545671e-25,2.34188875160564e-24,0,2.03843689996312e-24
2.49641945234574e-24,3.03451851642514e-25,-4.04814914028841e-24,0,-4.28892260183367e-24
-1.7713698508747e-24,2.40773461545258e-25,7.67903929808264e-24,0,7.2730846422861e-24
5.52520882330587e-24,4.05954655796547e-25,9.65734770683926e-25,0,8.26673126931194e-25
6.38535251879948e-24,1.39061643752732e-25,-1.49574706323543e-23,0,-1.47489166930278e-23
-8.32045019787079e-24,-2.08553939326491e-25,1.45199486373886e-23,0,1.4210677965131e-23
5.92655786955206e-24,3.09270672257583e-25,-1.18216602926129e-23,0,-1.14908418354254e-23
-5.54295788552456e-24,-3.30818457187501e-25,7.24461369310356e-24,0,7.18506796595743e-24
1.66233337945851e-24,5.95457271461256e-26,7.33180987243136e-24,0,7.41335685395728e-24
9.09461760730783e-24,-8.15469815259138e-26,-1.04771003819976e-23,0,-9.79916614520331e-24
-6.79942115828145e-25,-6.77934236794252e-25,-4.04564386288336e-24,0,-3.48242627966814e-24
-4.13292139041053e-24,-5.63217583215227e-25,5.25635263306217e-24,0,5.46743447484833e-24
1.36704164060507e-24,-2.11081841786155e-25,1.13069618012108e-24,0,1.43502264277366e-24
2.83535702235528e-24,-3.04326462652579e-25,-2.3022206637417e-24,0,-1.85512583860971e-24
1.01825530243121e-24,-4.47094825131988e-25,1.02724175934445e-24,0,1.21461057636439e-24
2.29519158643846e-24,-1.87368817019936e-25,-2.00789075125067e-24,0,-1.76385269901235e-24
6.01638408032299e-25,-2.44038052238322e-25,-6.92913195455322e-25,0,-6.92913195455322e-25
0,0,0,0,0
