"x","ppi","psi","ii","e","r"
-4.38013820601573,0.438013820601573,-0.438013820601573,2.21541942207227,1,2.46157713563586
-1.91856107037987,-0.246157713563586,-0.191856107037987,0.970384325296806,0,1.07820480588534
-0.840356264494532,-0.107820480588534,-0.0840356264494532,0.425041745775134,0,0.472268606416816
-0.368087658077716,-0.0472268606416816,-0.0368087658077716,0.186174158982129,0,0.20686017664681
-0.161227481430906,-0.020686017664681,-0.0161227481430906,0.0815468546730471,0,0.0906076163033857
-0.0706198651275204,-0.00906076163033857,-0.00706198651275204,0.0357186493733826,0,0.0396873881926474
-0.030932476934873,-0.00396873881926474,-0.0030932476934873,0.0156452620787633,0,0.0173836245319592
-0.0135488524029138,-0.00173836245319592,-0.00135488524029138,0.00685284101743203,0,0.0076142677971467
-0.00593458460576707,-0.00076142677971467,-0.000593458460576707,0.00300163907602058,0,0.00333515452891175
-0.00259943007685532,-0.000333515452891175,-0.000259943007685532,0.00131475939975475,0,0.00146084377750528
-0.00113858629935004,-0.000146084377750528,-0.000113858629935004,0.000575882787858409,0,0.000639869764287121
-0.000498716535062917,-6.39869764287121e-05,-4.98716535062917e-05,0.000252244620128547,0,0.00028027180014283
-0.000218444734920087,-2.8027180014283e-05,-2.18444734920087e-05,0.000110486629788697,0,0.000122762921987442
-9.56818129326451e-05,-1.22762921987442e-05,-9.56818129326451e-06,4.8394670839139e-05,0,5.37718564879322e-05
-4.19099564447129e-05,-5.37718564879322e-06,-4.19099564447129e-06,2.11975346710068e-05,0,2.35528163011187e-05
-1.83571401435942e-05,-2.35528163011187e-06,-1.83571401435942e-06,9.28481314858201e-06,0,1.031645905398e-05
-8.04068108961422e-06,-1.031645905398e-06,-8.04068108961422e-07,4.06687648078213e-06,0,4.51875164531348e-06
-3.52192944430075e-06,-4.51875164531348e-07,-3.52192944430075e-07,1.78134810526206e-06,0,1.9792756725134e-06
-1.54265377178735e-06,-1.9792756725134e-07,-1.54265377178735e-07,7.80255089407209e-07,0,8.66950099341343e-07
-6.75703672446003e-07,-8.66950099341343e-08,-6.75703672446003e-08,3.41762512755074e-07,0,3.79736125283415e-07
-2.95967547162588e-07,-3.79736125283415e-08,-2.95967547162588e-08,1.49696703950244e-07,0,1.66329671055826e-07
-1.29637876106761e-07,-1.66329671055826e-08,-1.29637876106761e-08,6.55692252287089e-08,0,7.28546946985654e-08
-5.6783181408196e-08,-7.28546946985654e-09,-5.6783181408196e-09,2.87202268563119e-08,0,3.19113631736798e-08
-2.48718182345162e-08,-3.19113631736798e-09,-2.48718182345161e-09,1.25798562938771e-08,0,1.39776181043079e-08
-1.08942001302083e-08,-1.39776181043079e-09,-1.08942001302083e-09,5.51015091789983e-09,0,6.12238990877759e-09
-4.7718102214307e-09,-6.12238990877761e-10,-4.7718102214307e-10,2.41352225564057e-09,0,2.68169139515619e-09
-2.09011882627451e-09,-2.6816913951562e-10,-2.0901188262745e-10,1.05715610430007e-09,0,1.17461789366674e-09
-9.15500932607771e-10,-1.17461789366673e-10,-9.15500932607776e-11,4.63048984216749e-10,0,5.14498871351943e-10
-4.01002061255828e-10,-5.1449887135194e-11,-4.01002061255835e-11,2.02821854702436e-10,0,2.25357616336042e-10
-1.75644444919785e-10,-2.25357616336065e-11,-1.75644444919771e-11,8.88387754797286e-11,0,9.87097505330301e-11
-7.69346943867548e-11,-9.87097505330157e-12,-7.69346943867543e-12,3.89126114654476e-11,0,4.32362349616069e-11
-3.36984594251477e-11,-4.32362349615925e-12,-3.36984594251591e-12,1.70442616175566e-11,0,1.89380684639522e-11
-1.47603909611955e-11,-1.89380684639552e-12,-1.47603909612014e-12,7.46562215043965e-12,0,8.29513572271097e-12
-6.46525523848428e-12,-8.29513572271318e-13,-6.46525523848865e-13,3.27004568127878e-12,0,3.63338409031028e-12
-2.83187114817415e-12,-3.63338409031507e-13,-2.83187114817512e-13,1.43232520239695e-12,0,1.59147244710824e-12
-1.24039870106577e-12,-1.59147244711296e-13,-1.24039870106299e-13,6.27378234258705e-13,0,6.97086926952555e-13
-5.43311774113855e-13,-6.97086926938506e-14,-5.4331177412252e-14,2.74800337337512e-13,0,3.05333708153861e-13
-2.37978065960293e-13,-3.05333708163481e-14,-2.37978065960245e-14,1.20366345661234e-13,0,1.33740384068554e-13
-1.0423768189147e-13,-1.33740384073196e-14,-1.04237681889244e-14,5.27221229369521e-14,0,5.85801365965683e-14
-4.565754529522e-14,-5.85801365961618e-15,-4.56575452940246e-15,2.30930185035383e-14,0,2.56589094475393e-14
-1.99986358479579e-14,-2.56589094400102e-15,-1.99986358547377e-15,1.01150612541839e-14,0,1.12389569499455e-14
-8.75967889829461e-15,-1.1238956957616e-15,-8.75967889762917e-16,4.43053663196801e-15,0,4.92281847950195e-15
-3.83686041869542e-15,-4.9228184753394e-16,-3.83686042259135e-16,1.94063627208346e-15,0,2.15626252494951e-15
-1.68059789377955e-15,-2.15626252866055e-16,-1.68059789403534e-16,8.50025512577605e-16,0,9.44472791353246e-16
-7.3612510227337e-16,-9.44472787756407e-17,-7.36125104553913e-17,3.72322920097236e-16,0,4.13692133582886e-16
-3.22432968866098e-16,-4.13692134856507e-17,-3.22432969609025e-17,1.63082584023153e-16,0,1.81202871305988e-16
-1.41230097768919e-16,-1.81202872828355e-17,-1.41230096392913e-17,7.14324268929369e-17,0,7.93693631412662e-17
-6.186073468851e-17,-7.93693624832932e-18,-6.18607346596105e-18,3.12883882072433e-17,0,3.47648760183853e-17
-2.70958585784501e-17,-3.47648781114202e-18,-2.70958567488259e-18,1.37047475441784e-17,0,1.52274972519575e-17
