"","C","ii","A","ppi","m","psi"
"50",-1.11022302462516e-14,-0.0289212974597098,0,-0.0318134272056798,-2.22044604925031e-14,-0.0318134272056798
"51",-1.11022302462516e-14,-0.0260291677137387,0,-0.0286320844851119,-2.22044604925031e-14,-0.0286320844851119
"52",-1.11022302462516e-14,-0.023426250942365,0,-0.0257688760366006,-2.22044604925031e-14,-0.0257688760366007
"53",-1.11022302462516e-14,-0.0210836258481284,0,-0.0231919884329407,-2.22044604925031e-14,-0.0231919884329406
"54",-1.11022302462516e-14,-0.0189752632633156,0,-0.0208727895896465,-2.22044604925031e-14,-0.0208727895896466
"55",-1.11022302462516e-14,-0.0170777369369841,0,-0.0187855106306819,-2.22044604925031e-14,-0.0187855106306819
"56",-1.11022302462516e-14,-0.0153699632432856,0,-0.0169069595676137,-2.22044604925031e-14,-0.0169069595676137
"57",-1.11022302462516e-14,-0.0138329669189571,0,-0.0152162636108523,-2.22044604925031e-14,-0.0152162636108523
"58",-1.11022302462516e-14,-0.0124496702270613,0,-0.0136946372497671,-2.22044604925031e-14,-0.0136946372497671
"59",-1.11022302462516e-14,-0.0112047032043552,0,-0.0123251735247904,-2.22044604925031e-14,-0.0123251735247904
"60",-1.11022302462516e-14,-0.0100842328839197,0,-0.0110926561723113,-2.22044604925031e-14,-0.0110926561723114
"61",-1.11022302462516e-14,-0.00907580959552783,0,-0.00998339055508024,-2.22044604925031e-14,-0.00998339055508022
"62",-1.11022302462516e-14,-0.00816822863597497,0,-0.00898505149957223,-2.22044604925031e-14,-0.0089850514995722
"63",-1.11022302462516e-14,-0.00735140577237739,0,-0.00808654634961498,-2.22044604925031e-14,-0.00808654634961498
"64",-1.11022302462516e-14,-0.00661626519513972,0,-0.00727789171465346,-2.22044604925031e-14,-0.00727789171465348
"65",-1.11022302462516e-14,-0.00595463867562578,0,-0.00655010254318814,-2.22044604925031e-14,-0.00655010254318813
"66",-1.11022302462516e-14,-0.00535917480806326,0,-0.00589509228886933,-2.22044604925031e-14,-0.00589509228886932
"67",-1.11022302462516e-14,-0.00482325732725688,0,-0.00530558305998241,-2.22044604925031e-14,-0.00530558305998239
"68",-1.11022302462516e-14,-0.0043409315945311,0,-0.00477502475398414,-2.22044604925031e-14,-0.00477502475398415
"69",-1.11022302462516e-14,-0.00390683843507801,0,-0.00429752227858573,-2.22044604925031e-14,-0.00429752227858573
"70",-1.11022302462516e-14,-0.00351615459157021,0,-0.00386777005072716,-2.22044604925031e-14,-0.00386777005072716
"71",-1.11022302462516e-14,-0.00316453913241314,0,-0.00348099304565444,-2.22044604925031e-14,-0.00348099304565444
"72",-1.11022302462516e-14,-0.00284808521917191,0,-0.003132893741089,-2.22044604925031e-14,-0.003132893741089
"73",-1.11022302462516e-14,-0.00256327669725474,0,-0.0028196043669801,-2.22044604925031e-14,-0.0028196043669801
"74",-1.11022302462516e-14,-0.00230694902752931,0,-0.00253764393028209,-2.22044604925031e-14,-0.00253764393028209
"75",-1.11022302462516e-14,-0.00207625412477624,0,-0.00228387953725388,-2.22044604925031e-14,-0.00228387953725388
"76",-1.11022302462516e-14,-0.00186862871229872,0,-0.00205549158352849,-2.22044604925031e-14,-0.00205549158352849
"77",-1.11022302462516e-14,-0.00168176584106876,0,-0.00184994242517564,-2.22044604925031e-14,-0.00184994242517564
"78",-1.11022302462516e-14,-0.00151358925696201,0,-0.00166494818265808,-2.22044604925031e-14,-0.00166494818265808
"79",-1.11022302462516e-14,-0.00136223033126576,0,-0.00149845336439227,-2.22044604925031e-14,-0.00149845336439227
"80",-1.11022302462516e-14,-0.00122600729813918,0,-0.00134860802795304,-2.22044604925031e-14,-0.00134860802795304
"81",-1.11022302462516e-14,-0.00110340656832523,0,-0.00121374722515774,-2.22044604925031e-14,-0.00121374722515774
"82",-1.11022302462516e-14,-0.000993065911492758,0,-0.00109237250264196,-2.22044604925031e-14,-0.00109237250264197
"83",-1.11022302462516e-14,-0.000893759320343482,0,-0.00098313525237777,-2.22044604925031e-14,-0.000983135252377769
"84",-1.11022302462516e-14,-0.00080438338830903,0,-0.000884821727139991,-2.22044604925031e-14,-0.000884821727139992
"85",-1.11022302462516e-14,-0.000723945049478127,0,-0.000796339554425995,-2.22044604925031e-14,-0.000796339554425993
"86",-1.11022302462516e-14,-0.000651550544530401,0,-0.000716705598983392,-2.22044604925031e-14,-0.000716705598983393
"87",-1.11022302462516e-14,-0.000586395490077309,0,-0.000645035039085054,-2.22044604925031e-14,-0.000645035039085054
"88",-1.11022302462516e-14,-0.00052775594106963,0,-0.000580531535176549,-2.22044604925031e-14,-0.000580531535176549
"89",-1.11022302462516e-14,-0.000474980346962597,0,-0.000522478381658893,-2.22044604925031e-14,-0.000522478381658894
"90",-1.11022302462516e-14,-0.000427482312266407,0,-0.000470230543493004,-2.22044604925031e-14,-0.000470230543493005
"91",-1.11022302462516e-14,-0.00038473408103968,0,-0.000423207489143705,-2.22044604925031e-14,-0.000423207489143704
"92",-1.11022302462516e-14,-0.000346260672935694,0,-0.000380886740229333,-2.22044604925031e-14,-0.000380886740229334
"93",-1.11022302462516e-14,-0.000311634605642229,0,-0.000342798066206401,-2.22044604925031e-14,-0.000342798066206401
"94",-1.11022302462516e-14,-0.000280471145078058,0,-0.000308518259585761,-2.22044604925031e-14,-0.000308518259585761
"95",-1.11022302462516e-14,-0.000252424030570096,0,-0.000277666433627185,-2.22044604925031e-14,-0.000277666433627185
"96",-1.11022302462516e-14,-0.000227181627513243,0,-0.000249899790264465,-2.22044604925031e-14,-0.000249899790264466
"97",-1.11022302462516e-14,-0.000204463464761884,0,-0.00022490981123802,-2.22044604925031e-14,-0.00022490981123802
"98",-1.11022302462516e-14,-0.00018401711828573,0,-0.000202418830114218,-2.22044604925031e-14,-0.000202418830114218
"99",-1.11022302462516e-14,-0.000165615406457105,0,-0.000182176947102796,-2.22044604925031e-14,-0.000182176947102796
"100",-1.11022302462516e-14,-0.000149053865811447,0,-0.000163959252392516,-2.22044604925031e-14,-0.000163959252392516
"101",-1.11022302462516e-14,-0.000134148479230198,0,-0.000147563327153264,-2.22044604925031e-14,-0.000147563327153265
"102",-1.11022302462516e-14,-0.000120733631307247,0,-0.000132806994437938,-2.22044604925031e-14,-0.000132806994437938
"103",-1.11022302462516e-14,-0.000108660268176471,0,-0.000119526294994144,-2.22044604925031e-14,-0.000119526294994144
"104",-1.11022302462516e-14,-9.77942413589103e-05,0,-0.00010757366549473,-2.22044604925031e-14,-0.00010757366549473
"105",-1.11022302462516e-14,-8.80148172229672e-05,0,-9.68162989452568e-05,-2.22044604925031e-14,-9.68162989452568e-05
