"","C","ii","A","ppi","m","psi"
"1",0,0,0,0,0,0
"2",4.99999977643402,4.35637060973437e-07,5,0,4.99999977643402,0
"3",4.4889508715986,-5.90286444723809e-08,4.48895087160042,0.489093804497849,4.4889508715986,0
"4",4.03113389272545,-2.90781159567599e-08,4.03113389272634,0.440076922640224,4.03113389272542,0
"5",3.62081387588902,-1.35042942106534e-08,3.62081387588937,0.395982245970767,3.620813875889,0
"6",3.25290973969707,-5.62363697276247e-09,3.25290973969716,0.356313576169201,3.25290973969707,0
"7",2.92291297236797,-1.7972946048106e-09,2.92291297236793,0.320625168179462,2.92291297236795,0
"8",2.62681771731563,-6.32932942168374e-11,2.62681771731554,0.288516448792349,2.62681771731559,0
"9",2.36106036727501,6.23305920766093e-10,2.36106036727493,0.259627386258815,2.36106036727501,0
"10",2.12246720714238,8.09747234542524e-10,2.12246720714229,0.233634344253239,2.12246720714238,0
"11",1.90820889679706,7.76093599108574e-10,1.90820889679697,0.2102463678068,1.90820889679704,0
"12",1.71576078889319,6.60966420484854e-10,1.71576078889313,0.189201854769508,1.71576078889317,0
"13",1.54286824254557,5.29125528114793e-10,1.5428682425455,0.170265571590567,1.54286824254555,0
"14",1.38751622952569,4.08250516725772e-10,1.38751622952566,0.153225976820087,1.38751622952569,0
"15",1.24790264098464,3.07546176026019e-10,1.24790264098462,0.13789281979758,1.24790264098462,0
"16",1.1224147945343,2.27926878759721e-10,1.12241479453425,0.124094985578122,1.12241479453428,0
"17",1.00960871748967,1.67103136883284e-10,1.00960871748965,0.111678560311585,1.00960871748967,0
"18",0.908190845179591,1.21470715430672e-10,0.908190845179568,0.100505094089469,0.908190845179591,0
"19",0.817001825851227,8.78809178206374e-11,0.817001825851205,0.0904500407496893,0.817001825851205,0
"20",0.735002167736831,6.32710897563449e-11,0.735002167736831,0.0814013563272983,0.735002167736809,0
"21",0.661259500852607,4.54801127314219e-11,0.661259500852607,0.0732582397857787,0.661259500852607,0
"22",0.59493725730182,3.26369140046801e-11,0.59493725730182,0.0659300013970627,0.59493725730182,0
"23",0.535284600260622,2.33856337072957e-11,0.535284600260622,0.0593350456769814,0.535284600260599,0
"24",0.481627454253464,1.67711330933962e-11,0.481627454253464,0.0533999571561754,0.481627454253442,0
"25",0.433360508438696,1.19768778228391e-11,0.433360508438696,0.0480586784873493,0.433360508438674,0
"26",0.389940080971041,8.60474885788776e-12,0.389940080971041,0.0432517714820659,0.389940080971041,0
"27",0.350877746531664,6.16659501240235e-12,0.350877746531686,0.038925752643046,0.350877746531664,0
"28",0.31573464118626,4.413136522885e-12,0.315734641186283,0.0350324956280446,0.31573464118626,0
"29",0.284116369151488,3.1563293645398e-12,0.284116369151488,0.031528693860972,0.284116369151466,0
"30",0.255668445072055,2.25739565928862e-12,0.255668445072055,0.0283753771994241,0.255668445072033,0
"31",0.230072213244292,1.61728269665318e-12,0.230072213244292,0.0255374771936962,0.230072213244292,0
"32",0.207041192040402,1.18377530000657e-12,0.207041192040402,0.0229834360281986,0.207041192040402,0
"33",0.186317797740299,8.53483950180589e-13,0.186317797740299,0.0206848547378801,0.186317797740299,0
"34",0.167670407183906,6.19990170314111e-13,0.167670407183906,0.0186161767400563,0.167670407183884,0
"35",0.150890723222741,4.42701431069281e-13,0.150890723222741,0.0167544031236163,0.150890723222741,0
"36",0.135791410960562,3.02535774210355e-13,0.135791410960562,0.0150788364994241,0.13579141096054,0
"37",0.122203976305335,2.15626128063917e-13,0.122203976305335,0.01357085053795,0.122203976305335,0
"38",0.109976861469296,1.42073852682501e-13,0.109976861469296,0.0122136826126575,0.109976861469274,0
"39",0.0989737348067843,9.76649316974942e-14,0.0989737348067843,0.0109922472260278,0.0989737348067843,0
"40",0.0890719548152896,7.89299181569447e-14,0.0890719548153118,0.00989296813234051,0.0890719548152896,0
"41",0.0801611902836674,4.5102810375397e-14,0.0801611902836674,0.00890362727881495,0.080161190283623,0
"42",0.072142180487722,6.26235174827627e-14,0.0721421804877442,0.00801322887851523,0.072142180487722,0
"43",0.0649256210360605,2.65412691824451e-14,0.0649256210360827,0.00721187709618891,0.0649256210360605,0
"44",0.0584311624827638,3.46944695195361e-15,0.0584311624827638,0.0064906659821325,0.0584311624827638,0
"45",0.0525865101733469,9.19403442267708e-15,0.0525865101733691,0.00584158042644407,0.0525865101733469,0
"46",0.04732661499256,3.38271077815477e-14,0.04732661499256,0.00525740702829882,0.0473266149925378,0
"47",0.0425929457544605,7.63278329429795e-15,0.0425929457544605,0.00473165388754607,0.0425929457544383,0
"48",0.0383328349349954,2.09901540593194e-14,0.0383328349349954,0.00425847842415552,0.0383328349349732,0
"49",0.0344988903016707,-2.60208521396521e-14,0.034498890301693,0.00383262242126757,0.0344988903016707,0
"50",0.031048465761252,1.97758476261356e-14,0.0310484657612742,0.00344935356917557,0.031048465761252,0
"51",0.0279431854313117,6.07153216591882e-15,0.0279431854313117,0.00310441285820785,0.0279431854312895,0
"52",0.0251485155544851,-1.56125112837913e-15,0.0251485155544851,0.00279396723561531,0.0251485155544628,0
"53",0.0226333794237865,-2.23779328401008e-14,0.0226333794237865,0.00251456699927717,0.0226333794237643,0
"54",0.0203698109791262,-1.73472347597681e-16,0.0203698109791262,0.00226310745400283,0.020369810979104,0
