"","C","phi","ppi","ppitil","F","D","A","ii","v","r"
"1",0,0,0,0,0,0,0,0,0,0.0101010101010101
"2",0.90023733160618,-0.591187968475904,-0.0694307808879905,-0.673474436281707,-3.04775452349554,-2.45814979883728,1,-0.153558038218054,0,0.0694307808879905
"3",0.809648116446549,-0.533422577015341,-0.0622974074855138,-0.606133401564901,-2.74409377090044,-2.21195567974555,0.899551641390839,-0.138016974136617,0,-0.0912606307325405
"4",0.728226195678738,-0.481174831036524,-0.0559139775407024,-0.54552386595752,-2.47057930265506,-1.99044637509709,0.809233535744269,-0.124065649987245,0,-0.0821029965959142
"5",0.65503399550666,-0.43394262815788,-0.0501984194834625,-0.490973554433083,-2.22424042276681,-1.79114279170887,0.728016366352402,-0.111538203548463,0,-0.0738672305037822
"6",0.589231729165007,-0.391264511942757,-0.0450782468782616,-0.441877149600289,-2.0023945708211,-1.61181526709,0.654976860431078,-0.100286699818001,0,-0.0664599566702013
"7",0.530066833576348,-0.352717459899832,-0.0404893288978683,-0.397689675118074,-1.80262036265255,-1.45045847112647,0.589286588810367,-0.090179074557422,0,-0.0597973709201323
"8",0.476864616693051,-0.31791453071135,-0.0363748378400329,-0.357920518425947,-1.62273293374655,-1.30526881158469,0.53020200012841,-0.0810973361405563,0,-0.0538042367173891
"9",0.429019963643551,-0.286502456479831,-0.0326843449421732,-0.322128034891067,-1.46076143995421,-1.17462410323862,0.477055543988869,-0.0729359891100638,0,-0.0484129911983831
"10",0.385989971275724,-0.258159242650036,-0.0293730409604219,-0.289914679749337,-1.3149285662864,-1.05706528041355,0.429247756385487,-0.0656006487945251,0,-0.0435629481496419
"11",0.347287398690743,-0.23259182053561,-0.0264010621435468,-0.260922618385373,-1.18363189494007,-0.951279951864703,0.386240196816523,-0.0590068211716629,0,-0.0391995866509783
"12",0.312474836530852,-0.209533783795335,-0.0237329055855285,-0.234829769537692,-1.06542698720499,-0.85608761504532,0.347549140345027,-0.0530788261249047,0,-0.0352739155861344
"13",0.281159510630413,-0.188743229830102,-0.0213369206568422,-0.211346239884558,-0.959012039557272,-0.770426363842658,0.312739939770168,-0.0477488455109544,0,-0.0317419054680625
"14",0.252988646564667,-0.170000719198737,-0.0191848654251649,-0.190211112127403,-0.863213981312405,-0.69334093968173,0.281421983359054,-0.0429560801710218,0,-0.0285639800857895
"15",0.227645330960202,-0.153107360216143,-0.0172515187836911,-0.171189552119921,-0.776975889107134,-0.623971990485328,0.253244182494639,-0.0386460022846959,0,-0.0257045613873307
"16",0.204844813430638,-0.137883021474183,-0.0155143404888041,-0.154070203777468,-0.699345601779222,-0.561546415339131,0.227890931330421,-0.0347696913650853,0,-0.0231316617958917
"17",0.184331199882326,-0.124164671781357,-0.0139531725312841,-0.138662843443271,-0.629465427603704,-0.505368684882912,0.20507848727791,-0.0312832437950151,0,-0.0208165188338012
"18",0.165874493876861,-0.111804844677188,-0.0125499762757888,-0.124796268087002,-0.566562844111251,-0.454813038496338,0.184551727032423,-0.0281472471569569,0,-0.0187332675192263
"19",0.149267947883525,-0.100670223042765,-0.0112886006421019,-0.112316394179168,-0.50994209870413,-0.409316469339183,0.166081237987581,-0.0253263117586186,0,-0.016858646514855
"20",0.134325690725756,-0.0906403382312848,-0.0101545773004826,-0.101084546333463,-0.458976625906948,-0.368372417324592,0.149460709400984,-0.0227886527361479,0,-0.015171734458136
"21",0.120880601420859,-0.0816063774584874,-0.00913493943655982,-0.090975916851177,-0.413102204281746,-0.33152509822868,0.134504591638818,-0.0205057169539507,0,-0.0136537132995881
"22",0.108782403015462,-0.0734700928145093,-0.00821806113133619,-0.0818781791559808,-0.371810782769599,-0.298364404449158,0.121045995318858,-0.0184518496398268,0,-0.0122876558226145
"23",0.0978959529985168,-0.0661428051184076,-0.00739351481354957,-0.0736902397826311,-0.334644912483295,-0.268521319497239,0.108934805251693,-0.0166039963138286,0,-0.0110583348262772
"24",0.0880997094895752,-0.0595444958615188,-0.00665194458924139,-0.0663211151018861,-0.301192725772337,-0.241663794209601,0.0980359868019587,-0.014941436103603,0,-0.0099520517245872
"25",0.0792843547016586,-0.0536029806363025,-0.00598495354857249,-0.0596889203323903,-0.271083409719963,-0.217493037966165,0.0882280647010125,-0.0134455430036845,0,-0.00895648255503048
