"","C","phi","ppi","ppitil","F","D","A","ii","v","r"
"60",-1.04649622301167e-09,-6.27893292914905e-09,-2.47699131218624e-10,-2.47694087462946e-09,-5.92376148134122e-09,-3.69452246573587e-09,0,1.41982606227664e-10,1.03677930763188e-09,4.50532367536603e-10
"61",-7.32547356108171e-10,-4.39528413664902e-09,-1.73381838030746e-10,-1.73384639978735e-09,-4.14647205460028e-09,-2.58600918456864e-09,0,9.93991347564283e-11,7.25745515342316e-10,3.1536444425841e-10
"62",-5.12778708383621e-10,-3.07667225030173e-09,-1.21368994092335e-10,-1.21367360605973e-09,-2.90236723543558e-09,-1.81006321042787e-09,0,6.95790647320393e-11,5.08021860739621e-10,2.20768128848763e-10
"63",-3.58946206091559e-10,-2.1536883387796e-09,-8.49501908495331e-11,-8.49531556212924e-10,-2.03148609045911e-09,-1.2669088000905e-09,0,4.87169332652471e-11,3.55615302517735e-10,1.54529255581572e-10
"64",-2.51265674933165e-10,-1.5075718451385e-09,-5.9470194832025e-11,-5.94668758679973e-10,-1.42190703655842e-09,-8.8671292530762e-10,0,3.40926939457198e-11,2.48930711762414e-10,1.08187128097272e-10
"65",-1.75892633791364e-10,-1.05530029159695e-09,-4.16197574884715e-11,-4.16222611931971e-10,-9.95181714813498e-10,-6.20581364074724e-10,0,2.38755196169116e-11,1.7425149823369e-10,7.57124514341913e-11
"66",-1.2312373343093e-10,-7.38742400585579e-10,-2.91311213031358e-11,-2.91322521661641e-10,-6.96487312268346e-10,-4.34297042772869e-10,0,1.67175301379885e-11,1.21976048763583e-10,5.30066409200474e-11
"67",-8.61755111714047e-11,-5.17041964798182e-10,-2.03919588657745e-11,-2.03870254011917e-10,-4.87410112270936e-10,-3.03934655221383e-10,0,1.17076487393675e-11,8.53832341345081e-11,3.7109489003763e-11
"68",-6.0329519158131e-11,-3.61943808258047e-10,-1.42688977916738e-11,-1.42696965355071e-10,-3.41093819855587e-10,-2.12674322597195e-10,0,8.20021134328996e-12,5.97682638941557e-11,2.59765465310413e-11
"69",-4.21995771660022e-11,-2.53208565226259e-10,-9.98947160317684e-12,-9.98867655255253e-11,-2.38675745833916e-10,-1.48780987530017e-10,0,5.75373082511987e-12,4.1837784725909e-11,1.81896829464668e-11
"70",-2.95319324550292e-11,-1.77180492499929e-10,-6.99732712845521e-12,-6.98996416303999e-11,-1.66966440673377e-10,-1.0405010186787e-10,0,4.02455846426619e-12,2.92864493081363e-11,1.27510579535751e-11
"71",-2.06834549487667e-11,-1.24089627462354e-10,-4.8989658480918e-12,-4.89497331557232e-11,-1.16773257730074e-10,-7.27196081129478e-11,0,2.81025203108243e-12,2.05005145156954e-11,8.92352431235799e-12
"72",-1.44884104713583e-11,-8.68860539071648e-11,-3.42568744225133e-12,-3.42725847701786e-11,-8.16235967704415e-11,-5.07927033766009e-11,0,1.96752336645289e-12,1.43503601609868e-11,6.23593947333375e-12
"73",-1.01585406753202e-11,-6.09290395914286e-11,-2.39747760560121e-12,-2.39697151016571e-11,-5.69655433935168e-11,-3.539391002505e-11,0,1.36973765663129e-12,1.00452521126907e-11,4.3650009720541e-12
"74",-7.11652958784725e-12,-4.26436663758523e-11,-1.67653104807565e-12,-1.67643676718399e-11,-3.97348820513344e-11,-2.46469511466785e-11,0,9.58608192824784e-13,7.03167647888352e-12,3.04626870470694e-12
