"","C","ii","A","pi","m","zeta","r"
"96",-1.11022302462516e-14,-1.04083408558608e-15,0,-3.51250192210421e-15,-1.11022302462516e-14,-2.7492595528331e-15,2.12472314132277e-15
"97",-1.11022302462516e-14,-5.20417042793042e-16,0,-2.45962422077193e-15,-1.11022302462516e-14,-1.92448167062986e-15,1.41879013518585e-15
"98",-1.11022302462516e-14,-3.46944695195361e-16,0,-1.67650916807434e-15,-1.11022302462516e-14,-1.34713721223733e-15,1.1560921252813e-15
"99",-1.11022302462516e-14,-3.46944695195361e-16,0,-1.16517608724928e-15,-1.11022302462516e-14,-9.42996086222187e-16,8.1823139205392e-16
"100",-1.11022302462516e-14,-1.73472347597681e-16,0,-8.4996024086269e-16,-1.11022302462516e-14,-6.60097267542303e-16,5.03015545667329e-16
"101",-1.11022302462516e-14,-1.73472347597681e-16,0,-5.88494052405683e-16,-1.11022302462516e-14,-4.62068011709966e-16,4.15021704808002e-16
"102",-1.11022302462516e-14,0,0,-4.25808050571994e-16,-1.11022302462516e-14,-3.23447596360807e-16,2.52335702974313e-16
"103",-1.11022302462516e-14,0,0,-2.97785965974927e-16,-1.11022302462516e-14,-2.26413374456538e-16,2.97785965974927e-16
"104",-1.11022302462516e-14,-1.73472347597681e-16,0,-1.9496646776432e-16,-1.11022302462516e-14,-1.58489393441051e-16,1.9496646776432e-16
"105",-1.11022302462516e-14,-1.73472347597681e-16,0,-1.59286264921451e-16,-1.11022302462516e-14,-1.10942581264642e-16,-1.41860826762299e-17
"106",-1.11022302462516e-14,0,0,-1.03034492142124e-16,-1.11022302462516e-14,-7.7659828511503e-17,-7.04378554555571e-17
"107",-1.11022302462516e-14,1.73472347597681e-16,0,-7.05038180918305e-17,-1.11022302462516e-14,-5.43618598488457e-17,7.05038180918305e-17
"108",-1.11022302462516e-14,0,0,-3.05461504135146e-17,-1.11022302462516e-14,-3.80532626756567e-17,2.04018498011195e-16
"109",-1.11022302462516e-14,0,0,-3.27045425591108e-17,-1.11022302462516e-14,-2.66372552159096e-17,3.27045425591108e-17
"110",-1.11022302462516e-14,0,0,-3.36725898859281e-17,-1.11022302462516e-14,-1.86460558152055e-17,3.36725898859281e-17
"111",-1.11022302462516e-14,0,0,-1.78665799298488e-17,-1.11022302462516e-14,-1.3052134979825e-17,1.78665799298488e-17
"112",-1.11022302462516e-14,1.73472347597681e-16,0,-1.21158454608585e-17,-1.11022302462516e-14,-9.13651417242945e-18,1.21158454608585e-17
"113",-1.11022302462516e-14,0,0,2.23231289115991e-17,-1.11022302462516e-14,-6.39562306059443e-18,1.51149218686082e-16
"114",-1.11022302462516e-14,0,0,2.80894522492059e-18,-1.11022302462516e-14,-4.47689197611273e-18,-2.80894522492059e-18
"115",-1.11022302462516e-14,0,0,-5.76568345314253e-18,-1.11022302462516e-14,-3.13385412099709e-18,5.76568345314253e-18
"116",-1.11022302462516e-14,0,0,2.02753025561298e-17,-1.11022302462516e-14,-2.19372568577001e-18,-2.02753025561298e-17
"117",-1.11022302462516e-14,0,0,3.94573887705117e-18,-1.11022302462516e-14,-1.53556352012716e-18,-3.94573887705117e-18
"118",-1.11022302462516e-14,0,0,5.38958906342261e-18,-1.11022302462516e-14,-1.07484425651487e-18,-5.38958906342261e-18
"119",-1.11022302462516e-14,-1.73472347597681e-16,0,-6.38562410736382e-18,-1.11022302462516e-14,-7.52427927806411e-19,6.38562410736382e-18
"120",-1.11022302462516e-14,0,0,-2.4375513003411e-17,-1.11022302462516e-14,-5.26700771426132e-19,-1.4909683459427e-16
"121",-1.11022302462516e-14,0,0,5.21243102533378e-18,-1.11022302462516e-14,-3.68701110671039e-19,-5.21243102533378e-18
"122",-1.11022302462516e-14,0,0,6.91775715872527e-18,-1.11022302462516e-14,-2.58167084450791e-19,-6.91775715872527e-18
"123",-1.11022302462516e-14,0,0,-2.5524939004249e-18,-1.11022302462516e-14,-1.80746440529922e-19,2.5524939004249e-18
"124",-1.11022302462516e-14,0,0,-8.62689003924359e-18,-1.11022302462516e-14,-1.26549726390455e-19,8.62689003924359e-18
"125",-1.11022302462516e-14,1.73472347597681e-16,0,7.04553022475878e-18,-1.11022302462516e-14,-8.85776102905172e-20,-7.04553022475878e-18
"126",-1.11022302462516e-14,0,0,2.76904766868206e-17,-1.11022302462516e-14,-6.19384165491827e-20,1.4578187091086e-16
"127",-1.11022302462516e-14,0,0,1.37086818583644e-17,-1.11022302462516e-14,-4.32582763609366e-20,-1.37086818583644e-17
"128",-1.11022302462516e-14,0,0,-2.67405472862897e-17,-1.11022302462516e-14,-3.0253203751849e-20,2.67405472862897e-17
"129",-1.11022302462516e-14,0,0,1.0253740138437e-17,-1.11022302462516e-14,-2.12003767353037e-20,-1.0253740138437e-17
"130",-1.11022302462516e-14,-1.73472347597681e-16,0,1.17274430414747e-17,-1.11022302462516e-14,-1.48105459100796e-20,-1.17274430414747e-17
"131",-1.11022302462516e-14,0,0,-2.6171554174876e-17,-1.11022302462516e-14,-1.03151052177393e-20,-1.47300793422805e-16
"132",-1.11022302462516e-14,0,0,1.58273368814285e-17,-1.11022302462516e-14,-7.26831840475701e-21,-1.58273368814285e-17
"133",-1.11022302462516e-14,0,0,2.21633867458931e-17,-1.11022302462516e-14,-5.02912067047156e-21,-2.21633867458931e-17
"134",-1.11022302462516e-14,1.73472347597681e-16,0,1.08143544630586e-17,-1.11022302462516e-14,-3.52759650041086e-21,-1.08143544630586e-17
"135",-1.11022302462516e-14,0,0,3.21743794148176e-17,-1.11022302462516e-14,-2.44709509460429e-21,1.41297968182863e-16
"136",-1.11022302462516e-14,-1.73472347597681e-16,0,1.88399306512168e-17,-1.11022302462516e-14,-1.72519065009406e-21,-1.88399306512168e-17
"137",-1.11022302462516e-14,0,0,-2.58782365255736e-17,-1.11022302462516e-14,-1.219753213243e-21,-1.47594111072107e-16
"138",-1.11022302462516e-14,0,0,3.78996555005065e-17,-1.11022302462516e-14,-8.26135444009442e-22,-3.78996555005065e-17
"139",-1.11022302462516e-14,0,0,3.09929715782427e-17,-1.11022302462516e-14,-5.60364876694004e-22,-3.09929715782427e-17
