"","C","ii","A","pi","m","zeta","r"
"1",0,0,0,0,0,0,0.0101010101010101
"2",1.00000008777683,-1.41821084390092e-08,1,-0.990099108062184,1.00000007350143,0,0.990099108062184
"3",0.899551625649697,-7.90986529747295e-09,0.899551631452944,0.0995529221327633,0.89955162527573,-7.08543106928886e-22,-0.0995529363148718
"4",0.809233526046782,-4.98611794214066e-09,0.809233529735121,0.0895930844261146,0.809233525886444,8.24835382645181e-23,-0.0895930923359799
"5",0.728016360439487,-3.14792809874564e-09,0.728016362779815,0.0806301669094793,0.728016360343342,1.48186797111553e-23,-0.0806301718955972
"6",0.654976856873635,-1.9890597849348e-09,0.654976858359912,0.0725642259998398,0.654976856814815,3.15766367375758e-22,-0.0725642291477679
"7",0.58928658671118,-1.25770071440767e-09,0.589286587655913,0.0653054348136308,0.589286586675297,2.67210023665461e-22,-0.0653054368026906
"8",0.530201998925484,-7.95508624251706e-10,0.530201999526336,0.0587729728110187,0.53020199890359,4.73114821952456e-22,-0.0587729740687194
"9",0.477055543331018,-5.03159493236982e-10,0.47705554371329,0.052894121558086,0.477055543317739,7.86244183628174e-23,-0.0528941223535946
"10",0.429247756054196,-3.18174306346286e-10,0.429247756297424,0.0476034507108922,0.429247756046158,-7.32447195523183e-23,-0.0476034512140517
"11",0.386240196676613,-2.01044042524856e-10,0.386240196831311,0.0428420861208237,0.386240196671772,-6.96182015568974e-23,-0.042842086438998
"12",0.347549140313497,-1.26900573382827e-10,0.347549140411862,0.0385570517151167,0.347549140310632,2.3524733905674e-24,-0.0385570519161607
"13",0.312739939796791,-7.99945179541517e-11,0.312739939859252,0.0347006776637863,0.312739939795081,-4.90171138956024e-23,-0.0347006777906869
"14",0.281421983413832,-5.02311733874272e-11,0.281421983453445,0.0312300681147695,0.281421983412855,-1.417108148187e-22,-0.031230068194764
"15",0.253244182560142,-3.15391809890819e-11,0.253244182585233,0.0281066224670384,0.253244182559587,-1.94306238037612e-23,-0.0281066225172696
"16",0.227890931396924,-1.96552843445552e-11,0.227890931412755,0.0252956047687571,0.227890931396613,-5.07449422268159e-23,-0.0252956048002963
"17",0.205078487340304,-1.21814017206567e-11,0.205078487350274,0.0227657563804217,0.205078487340149,6.70069737309582e-23,-0.022765756400077
"18",0.184551727088378,-7.54205725650436e-12,0.184551727094617,0.0204889475373801,0.184551727088289,2.22163829581956e-23,-0.0204889475495615
"19",0.16608123803632,-4.5847006746591e-12,0.166081238040228,0.0184398638899925,0.166081238036275,-4.08425350569637e-23,-0.0184398638975345
"20",0.149460709442617,-2.8045274436117e-12,0.149460709445037,0.0165957244989314,0.149460709442617,-9.61240935541938e-23,-0.0165957245035161
"21",0.134504591673901,-1.64434438287842e-12,0.134504591675388,0.0149360281187089,0.134504591673901,-1.07854742665549e-22,-0.0149360281215135
"22",0.121045995348124,-9.5964902691037e-13,0.121045995349034,0.0134423249242409,0.121045995348146,-1.37697867966062e-22,-0.0134423249258852
"23",0.108934805275895,-5.40192890419178e-13,0.10893480527645,0.0120980111226569,0.108934805275918,-2.61802819658906e-23,-0.0120980111236166
"24",0.0980359868218983,-3.25434124093249e-13,0.0980359868222092,0.0108881441504731,0.0980359868219205,-5.93840617869885e-23,-0.0108881441510133
"25",0.0882280647173772,-1.20216336885193e-13,0.0882280647175548,0.00979927638930911,0.0882280647173772,-5.55316362687204e-23,-0.00979927638963454
"26",0.0794017564908156,-4.78783679369599e-14,0.0794017564909266,0.00881930554028911,0.0794017564908378,-7.45452115348712e-23,-0.00881930554040933
"27",0.0714587445787229,-6.50521303491303e-14,0.0714587445787895,0.00793733998632167,0.0714587445787451,-1.39109147689113e-22,-0.00793733998636954
"28",0.0643105728632687,5.20417042793042e-16,0.0643105728633131,0.007143577637894,0.0643105728632687,-1.49436709623443e-22,-0.00714357763795905
"29",0.0578776548824989,3.40005801291454e-14,0.0578776548824989,0.00642919691085669,0.0578776548824989,-7.97402160665245e-23,-0.00642919691085617
"30",0.0520883822930918,1.38777878078145e-14,0.0520883822930918,0.00578625861964292,0.0520883822930918,-1.25659837218468e-23,-0.00578625861960892
"31",0.0468783233565695,1.59594559789866e-14,0.0468783233565917,0.00520761769164071,0.0468783233565695,5.78846391945077e-23,-0.00520761769162683
"32",0.0421895022806762,1.6826817716975e-14,0.0421895022806984,0.00468684371900909,0.0421895022806984,3.53698132808302e-23,-0.00468684371899313
"33",0.0379697511968091,3.95516952522712e-14,0.0379697511968091,0.00421814946235706,0.0379697511968091,-5.29730720157619e-23,-0.00421814946234024
"34",0.0341721274012441,2.13370987545147e-14,0.0341721274012663,0.00379632650948131,0.0341721274012441,-7.12127246629403e-23,-0.00379632650944176
"35",0.0307543892463125,-1.38777878078145e-15,0.0307543892463125,0.00341668737317636,0.0307543892463125,-2.5009450427965e-23,-0.00341668737315503
"36",0.0276785247448563,2.53269627492614e-14,0.0276785247448785,0.00307501338275719,0.0276785247448563,2.09740770401989e-23,-0.00307501338275858
"37",0.0249103275598905,-1.80411241501588e-14,0.0249103275598905,0.0027675077894164,0.0249103275598905,2.12358641785025e-23,-0.00276750778939107
"38",0.022419015593278,1.09287578986539e-14,0.0224190155933002,0.00249075356393997,0.022419015593278,3.7591869276425e-23,-0.00249075356395801
"39",0.0201768878769215,4.33680868994202e-15,0.0201768878769437,0.00224167541584526,0.0201768878769215,7.24607646607303e-23,-0.00224167541583433
"40",0.0181590159046507,-2.51534904016637e-14,0.0181590159046507,0.00201750561296046,0.0181590159046507,1.76164651357385e-23,-0.00201750561295612
"41",0.0163429659365777,1.11022302462516e-14,0.0163429659365777,0.00181575322001897,0.0163429659365777,-2.21105286260363e-23,-0.00181575322004412
"42",0.0147085491584154,-4.85722573273506e-15,0.0147085491584154,0.00163417641439821,0.0147085491584154,-1.75145888743014e-23,-0.00163417641438711
"43",0.0132375968941334,-2.75821032680312e-14,0.0132375968941556,0.00147075757122768,0.0132375968941334,-5.04298505638967e-24,-0.00147075757123254
"44",0.0119137583532325,-6.59194920871187e-15,0.0119137583532325,0.00132368084069959,0.0119137583532325,-3.10714967568553e-24,-0.00132368084072717
"45",0.0107223186487371,1.6306400674182e-14,0.0107223186487371,0.00119131196816755,0.0107223186487371,-8.30239635753092e-24,-0.00119131196817414
"46",0.00965003505022377,3.29597460435593e-15,0.00965003505022377,0.00107218013273589,0.00965003505022377,1.78715419093651e-24,-0.00107218013271958
"47",0.00868498964121667,-1.21430643318376e-15,0.00868498964123887,0.000964961602143702,0.00868498964121667,-8.02776649834197e-24,-0.000964961602140406
"48",0.00781645673511022,4.5102810375397e-15,0.00781645673511022,0.000868465022904589,0.00781645673511022,-1.39841653393364e-23,-0.000868465022905803
"49",0.00703478356871567,-1.33573707650214e-14,0.00703478356873788,0.000781618181221208,0.00703478356871567,-9.8246774224584e-24,-0.000781618181216698
"50",0.00633128294273977,8.67361737988404e-16,0.00633128294273977,0.000703456088167974,0.00633128294273977,-1.1391252590141e-23,-0.000703456088181332
"51",0.00569813661055463,-1.47451495458029e-14,0.00569813661055463,0.000633110256663816,0.00569813661055463,-6.17002039940028e-24,-0.000633110256662949
"52",0.00512830833885314,1.76941794549634e-14,0.00512830833885314,0.000569799050636901,0.00512830833885314,-6.8829845842902e-24,-0.000569799050651646
"53",0.00461546567038784,-2.13370987545147e-14,0.00461546567038784,0.000512818999470895,0.00461546567038784,-1.60442171931641e-23,-0.000512818999453201
"54",0.00415390951735706,-1.97758476261356e-14,0.00415390951737926,0.000461536981205732,0.00415390951735706,-1.60377627584911e-23,-0.000461536981227069
"55",0.00373851080102128,-3.12250225675825e-15,0.00373851080102128,0.000415383187200854,0.00373851080102128,-1.33921973440863e-23,-0.00041538318722063
"56",0.00336465343158121,-3.29597460435593e-15,0.00336465343160341,0.000373844790845107,0.00336465343158121,-1.75191981117008e-23,-0.000373844790848229
"57",0.00302818299409147,2.8796409701215e-14,0.00302818299409147,0.000336460248854915,0.00302818299409147,-1.12398128221688e-23,-0.000336460248858211
"58",0.00272536056826755,-1.56125112837913e-14,0.00272536056826755,0.000302814173052331,0.00272536056826755,-8.24026893565451e-24,-0.000302814173023534
"59",0.00245282116906331,1.80411241501588e-14,0.00245282116906331,0.000272532714466423,0.00245282116906331,-1.15854466269931e-23,-0.000272532714482036
"60",0.00220753634483373,5.20417042793042e-15,0.00220753634483373,0.000245279409593204,0.00220753634483373,-1.5775971099719e-23,-0.000245279409575163
"61",0.00198678051741563,1.35308431126191e-14,0.00198678051741563,0.000220751441567501,0.00198678051741563,-2.29863528543757e-23,-0.000220751441562297
"62",0.00178810068938162,-1.50920942409982e-14,0.00178810068940383,0.000198676275498786,0.00178810068938162,-1.78773996218461e-23,-0.000198676275485255
"63",0.00160928918169212,6.07153216591882e-15,0.00160928918169212,0.000178808630175087,0.00160928918169212,-1.31934849000106e-23,-0.000178808630190179
"64",0.00144835909809959,9.54097911787244e-15,0.00144835909809959,0.000160927752782427,0.00144835909809959,-1.14447942597501e-23,-0.000160927752776355
"65",0.00130352224432251,1.97758476261356e-14,0.00130352224432251,0.000144834965816375,0.00130352224432251,-9.03040253626037e-24,-0.000144834965806834
"66",0.00117316925525301,-1.56125112837913e-15,0.00117316925525301,0.000130351459815734,0.00117316925525301,-9.10644185034548e-24,-0.000130351459795958
"67",0.00105585171039646,6.41847686111419e-15,0.00105585171039646,0.000117316306179196,0.00105585171039646,-8.17222468646312e-24,-0.000117316306180757
"68",0.000950266037680336,-8.50014503228635e-15,0.000950266037680336,0.000105584669373699,0.000950266037680336,-1.6839127134616e-23,-0.00010558466936728
"69",0.000855239027552912,5.3776427755281e-15,0.000855239027575116,9.50261974033201e-05,0.000855239027552912,-1.31213438211656e-23,-9.50261974118202e-05
"70",0.000769714795656462,9.19403442267708e-15,0.000769714795656462,8.55235736019455e-05,0.000769714795656462,-1.43148084256846e-23,-8.55235735965678e-05
"71",0.000692743049479638,-1.38777878078145e-15,0.000692743049501843,7.6971212970298e-05,0.000692743049479638,-1.69196707199494e-23,-7.6971212961104e-05
